Trace
Swept SA
A.24.56,N9000B
526 AKT EP4 ,01
Segment,0
Number of Points,1001
Sweep Time,0.001466666667
Start Frequency,3414648495.81234
Stop Frequency,3424490391.81234
Average Count,0
Average Type,LogPower(Video)
RBW,91000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,91000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,20
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
3414648495.81234,-73.5241470336914
3414658337.70833,-73.115104675293
3414668179.60433,-72.3702850341797
3414678021.50034,-71.6594314575195
3414687863.39634,-71.4973297119141
3414697705.29234,-71.5547332763672
3414707547.18833,-72.1713409423828
3414717389.08433,-73.1877517700195
3414727230.98034,-74.4236602783203
3414737072.87634,-75.1800689697266
3414746914.77234,-74.6103286743164
3414756756.66834,-74.557975769043
3414766598.56433,-75.0230178833008
3414776440.46033,-78.3533401489258
3414786282.35634,-81.9580383300781
3414796124.25234,-81.5685958862305
3414805966.14834,-75.5596694946289
3414815808.04433,-75.4354553222656
3414825649.94033,-76.1239242553711
3414835491.83634,-77.4565200805664
3414845333.73234,-73.9979858398438
3414855175.62834,-72.1112365722656
3414865017.52433,-70.6791610717773
3414874859.42033,-69.6756439208984
3414884701.31634,-69.279670715332
3414894543.21234,-69.2782745361328
3414904385.10834,-69.6479415893555
3414914227.00433,-70.5924987792969
3414924068.90033,-71.5644836425781
3414933910.79634,-71.9485244750977
3414943752.69234,-71.6283340454102
3414953594.58834,-71.4035186767578
3414963436.48433,-71.3955917358398
3414973278.38033,-71.5339965820313
3414983120.27634,-71.8187408447266
3414992962.17234,-71.890510559082
3415002804.06834,-72.0746459960938
3415012645.96434,-73.3484497070313
3415022487.86033,-76.5219802856445
3415032329.75633,-76.9321517944336
3415042171.65234,-72.8360214233398
3415052013.54834,-73.575439453125
3415061855.44434,-72.7326278686523
3415071697.34033,-78.0841827392578
3415081539.23633,-76.4731140136719
3415091381.13234,-76.2992553710938
3415101223.02834,-74.7691955566406
3415111064.92434,-74.8618774414063
3415120906.82033,-73.6336288452148
3415130748.71633,-71.7116012573242
3415140590.61234,-70.0325927734375
3415150432.50834,-69.0107803344727
3415160274.40434,-68.7101821899414
3415170116.30033,-68.7140121459961
3415179958.19633,-69.0836868286133
3415189800.09234,-69.968132019043
3415199641.98834,-71.1922836303711
3415209483.88434,-72.5876007080078
3415219325.78033,-74.2233200073242
3415229167.67633,-75.1129913330078
3415239009.57234,-73.0485534667969
3415248851.46834,-72.8786087036133
3415258693.36434,-70.7880401611328
3415268535.26034,-70.8532791137695
3415278377.15633,-72.4210586547852
3415288219.05233,-75.9787139892578
3415298060.94834,-78.7589721679688
3415307902.84434,-80.2274551391602
3415317744.74034,-80.3331985473633
3415327586.63633,-80.2416534423828
3415337428.53233,-79.8809509277344
3415347270.42834,-78.1235504150391
3415357112.32434,-75.2163848876953
3415366954.22034,-73.9241104125977
3415376796.11633,-73.922721862793
3415386638.01233,-75.7975387573242
3415396479.90834,-75.021354675293
3415406321.80434,-74.6828765869141
3415416163.70034,-68.268913269043
3415426005.59633,-67.00146484375
3415435847.49233,-66.8746490478516
3415445689.38834,-67.1058197021484
3415455531.28434,-68.7010345458984
3415465373.18034,-72.7682495117188
3415475215.07634,-76.6277236938477
3415485056.97233,-76.3793869018555
3415494898.86834,-71.4065551757813
3415504740.76434,-70.3546905517578
3415514582.66034,-69.5249481201172
3415524424.55634,-68.1242294311523
3415534266.45233,-66.4138641357422
3415544108.34833,-65.0575790405273
3415553950.24434,-64.4813003540039
3415563792.14034,-64.477294921875
3415573634.03634,-64.9501800537109
3415583475.93233,-66.6211700439453
3415593317.82833,-69.7920913696289
3415603159.72434,-74.8261566162109
3415613001.62034,-80.0248489379883
3415622843.51634,-81.1118087768555
3415632685.41233,-78.3000183105469
3415642527.30833,-78.0817413330078
