Trace
Swept SA
A.24.56,N9000B
526 AKT EP4 ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,3343886936.41625
Stop Frequency,3466312318.41625
Average Count,0
Average Type,LogPower(Video)
RBW,1200000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1200000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,40
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
3343886936.41625,-43.4120597839355
3344009361.79825,-50.5288314819336
3344131787.18025,-46.9023017883301
3344254212.56225,-54.6312789916992
3344376637.94425,-43.0880126953125
3344499063.32625,-50.1232070922852
3344621488.70825,-42.879322052002
3344743914.09025,-52.4280014038086
3344866339.47225,-40.843578338623
3344988764.85425,-52.8682594299316
3345111190.23625,-41.3301391601563
3345233615.61825,-52.8139038085938
3345356041.00025,-40.770149230957
3345478466.38225,-58.438404083252
3345600891.76425,-43.8774909973145
3345723317.14625,-50.0755920410156
3345845742.52825,-40.7033309936523
3345968167.91025,-49.3002662658691
3346090593.29225,-44.7308158874512
3346213018.67425,-52.7251014709473
3346335444.05625,-46.9349212646484
3346457869.43825,-57.8763046264648
3346580294.82025,-42.9354248046875
3346702720.20225,-54.2611808776855
3346825145.58425,-43.5689735412598
3346947570.96625,-51.8822212219238
3347069996.34825,-41.4832534790039
3347192421.73025,-52.0711326599121
3347314847.11225,-43.5822639465332
3347437272.49425,-56.8232612609863
3347559697.87625,-45.8407554626465
3347682123.25825,-61.0572624206543
3347804548.64025,-41.2158317565918
3347926974.02225,-63.808895111084
3348049399.40425,-43.4412498474121
3348171824.78625,-56.8167419433594
3348294250.16825,-42.4439697265625
3348416675.55025,-53.0421371459961
3348539100.93225,-41.9692344665527
3348661526.31425,-54.3172836303711
3348783951.69625,-44.4415893554688
3348906377.07825,-49.2683029174805
3349028802.46025,-38.4856948852539
3349151227.84225,-50.9101829528809
3349273653.22425,-39.1949424743652
3349396078.60625,-44.6595764160156
3349518503.98825,-42.3353576660156
3349640929.37025,-48.8289031982422
3349763354.75225,-41.5923652648926
3349885780.13425,-57.4930992126465
3350008205.51625,-44.4740829467773
3350130630.89825,-60.8297424316406
3350253056.28025,-46.8082733154297
3350375481.66225,-47.6494255065918
3350497907.04425,-41.5953979492188
3350620332.42625,-51.8246307373047
3350742757.80825,-44.1280212402344
3350865183.19025,-48.6475296020508
3350987608.57225,-44.5087509155273
3351110033.95425,-54.2940788269043
3351232459.33625,-41.9100456237793
3351354884.71825,-62.2909545898438
3351477310.10025,-43.415225982666
3351599735.48225,-59.2623100280762
3351722160.86425,-41.1465072631836
3351844586.24625,-59.8752784729004
3351967011.62825,-42.1210670471191
3352089437.01025,-52.7023315429688
3352211862.39225,-43.245548248291
3352334287.77425,-54.0517044067383
3352456713.15625,-41.666202545166
3352579138.53825,-56.8827095031738
3352701563.92025,-41.7632446289063
3352823989.30225,-44.7930374145508
3352946414.68425,-41.0040855407715
3353068840.06625,-49.922924041748
3353191265.44825,-41.4149475097656
3353313690.83025,-60.0239219665527
3353436116.21225,-39.593807220459
3353558541.59425,-51.3090782165527
3353680966.97625,-41.8927192687988
3353803392.35825,-57.8897285461426
3353925817.74025,-43.3368988037109
3354048243.12225,-58.0764350891113
3354170668.50425,-40.8587265014648
3354293093.88625,-48.3539886474609
3354415519.26825,-44.8531341552734
3354537944.65025,-49.4703903198242
3354660370.03225,-43.2877502441406
3354782795.41425,-61.413875579834
3354905220.79625,-42.0729331970215
3355027646.17825,-46.2551040649414
3355150071.56025,-40.0496826171875
3355272496.94225,-56.0400810241699
3355394922.32425,-39.4786682128906
3355517347.70625,-61.4154357910156
3355639773.08825,-46.8148384094238
3355762198.47025,-50.9925994873047
3355884623.85225,-42.0899620056152
3356007049.23425,-51.0808219909668
3356129474.61625,-45.4729042053223
3356251899.99825,-54.3763084411621
