Trace
Swept SA
A.24.56,N9000B
526 AKT EP4 ,01
Segment,0
Number of Points,1001
Sweep Time,0.004866666667
Start Frequency,3399581027.68844
Stop Frequency,3402522121.68844
Average Count,0
Average Type,LogPower(Video)
RBW,27000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,27000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
3399581027.68844,-69.6389541625977
3399583968.78244,-72.1039886474609
3399586909.87644,-73.7516098022461
3399589850.97044,-73.5561904907227
3399592792.06444,-73.979377746582
3399595733.15844,-76.1355361938477
3399598674.25244,-62.3485450744629
3399601615.34644,-56.4593200683594
3399604556.44044,-52.6699676513672
3399607497.53444,-50.7526664733887
3399610438.62844,-50.2628707885742
3399613379.72244,-51.1348762512207
3399616320.81644,-50.2713508605957
3399619261.91044,-54.4685096740723
3399622203.00444,-57.5939712524414
3399625144.09844,-57.5453109741211
3399628085.19244,-53.7687568664551
3399631026.28644,-50.5715675354004
3399633967.38044,-47.8829193115234
3399636908.47444,-46.6635856628418
3399639849.56844,-46.6285781860352
3399642790.66244,-47.2326583862305
3399645731.75644,-49.6610107421875
3399648672.85044,-53.9946899414063
3399651613.94444,-60.2823333740234
3399654555.03844,-69.6775512695313
3399657496.13244,-74.6315460205078
3399660437.22644,-74.5726470947266
3399663378.32044,-71.8720550537109
3399666319.41444,-71.4462509155273
3399669260.50844,-66.6466369628906
3399672201.60244,-60.2633781433105
3399675142.69644,-54.9663162231445
3399678083.79044,-51.3587074279785
3399681024.88444,-49.2809944152832
3399683965.97844,-48.2843627929688
3399686907.07244,-48.0445709228516
3399689848.16644,-48.0624618530273
3399692789.26044,-48.7040863037109
3399695730.35444,-50.3414688110352
3399698671.44844,-52.4617919921875
3399701612.54244,-53.4609336853027
3399704553.63644,-50.8669967651367
3399707494.73044,-49.4906616210938
3399710435.82444,-49.0904579162598
3399713376.91844,-49.1032295227051
3399716318.01244,-49.6126022338867
3399719259.10644,-50.0801620483398
3399722200.20044,-49.4845581054688
3399725141.29444,-49.4717330932617
3399728082.38844,-49.3010559082031
3399731023.48244,-51.0220565795898
3399733964.57644,-54.1176567077637
3399736905.67044,-54.0800857543945
3399739846.76444,-52.5356597900391
3399742787.85844,-53.2754096984863
3399745728.95244,-57.9324760437012
3399748670.04644,-58.3735847473145
3399751611.14044,-55.7677040100098
3399754552.23444,-55.8905448913574
3399757493.32844,-57.7787818908691
3399760434.42244,-59.9648094177246
3399763375.51644,-55.8478050231934
3399766316.61044,-52.585765838623
3399769257.70444,-50.3049774169922
3399772198.79844,-49.5796813964844
3399775139.89244,-49.5916023254395
3399778080.98644,-50.8330688476563
3399781022.08044,-54.5711708068848
3399783963.17444,-62.2709617614746
3399786904.26844,-63.5226669311523
3399789845.36244,-63.4543800354004
3399792786.45644,-57.4721488952637
3399795727.55044,-54.2024345397949
3399798668.64444,-51.1554183959961
3399801609.73844,-48.8976669311523
3399804550.83244,-47.9070053100586
3399807491.92644,-48.5255928039551
3399810433.02044,-47.8898887634277
3399813374.11444,-51.1194496154785
3399816315.20844,-55.9062118530273
3399819256.30244,-60.9139633178711
3399822197.39644,-62.3260841369629
3399825138.49044,-62.3149642944336
3399828079.58444,-59.8874168395996
3399831020.67844,-56.9248733520508
3399833961.77244,-53.4776763916016
3399836902.86644,-50.5347595214844
3399839843.96044,-48.7872581481934
3399842785.05444,-48.487735748291
3399845726.14844,-48.6472702026367
3399848667.24244,-50.4407958984375
3399851608.33644,-55.1891593933105
3399854549.43044,-63.16455078125
3399857490.52444,-55.6643714904785
3399860431.61844,-52.1514778137207
3399863372.71244,-50.4654083251953
3399866313.80644,-50.2162322998047
3399869254.90044,-49.9704666137695
3399872195.99444,-49.4550704956055
3399875137.08844,-49.4047050476074
3399878078.18244,-49.7485427856445
