Trace
Swept SA
A.24.56,N9000B
526 AKT EP4 ,01
Segment,0
Number of Points,1001
Sweep Time,1.661
Start Frequency,3416999472.57246
Stop Frequency,3416999588.57246
Average Count,0
Average Type,LogPower(Video)
RBW,1.1
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1.1
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Wide
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,20
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
3416999472.57246,-69.9503631591797
3416999472.68846,-69.7693634033203
3416999472.80446,-69.5696487426758
3416999472.92046,-69.3845520019531
3416999473.03646,-69.2662506103516
3416999473.15246,-69.1818908210874
3416999473.26846,-69.2147674560547
3416999473.38446,-69.3665237426758
3416999473.50046,-69.6079177856445
3416999473.61646,-69.8561401367188
3416999473.73246,-70.1903839111328
3416999473.84846,-70.3863754272461
3416999473.96446,-70.2082977294922
3416999474.08046,-69.7475357055664
3416999474.19646,-69.0869827270508
3416999474.31246,-68.1483383178711
3416999474.42846,-67.1004028320313
3416999474.54446,-66.2137069702148
3416999474.66046,-65.4166641235352
3416999474.77646,-64.78662109375
3416999474.89246,-64.2185422594372
3416999475.00846,-64.1214065551758
3416999475.12446,-64.1219068036776
3416999475.24046,-64.2526007038946
3416999475.35646,-64.6106239600883
3416999475.47246,-65.6462631225586
3416999475.58846,-66.7189407348633
3416999475.70446,-68.0405044555664
3416999475.82046,-69.9437026977539
3416999475.93646,-71.7740097045898
3416999476.05246,-72.4898147583008
3416999476.16846,-72.2440643310547
3416999476.28446,-71.4949951171875
3416999476.40046,-70.2484817504883
3416999476.51646,-68.6376571655273
3416999476.63246,-67.4255905151367
3416999476.74846,-66.622314453125
3416999476.86446,-66.0747985839844
3416999476.98046,-65.7602767944336
3416999477.09646,-65.6874084472656
3416999477.21246,-65.7899780273438
3416999477.32846,-66.0773239135742
3416999477.44446,-66.5157852172852
3416999477.56046,-67.0467147827148
3416999477.67646,-67.7038497924805
3416999477.79246,-68.3590240478516
3416999477.90846,-68.9660263061523
3416999478.02446,-69.532829284668
3416999478.14046,-69.9481964111328
3416999478.25646,-70.1801986694336
3416999478.37246,-70.3441467285156
3416999478.48846,-70.4851303100586
3416999478.60446,-70.5868148803711
3416999478.72046,-70.9057235717773
3416999478.83646,-71.3818359375
3416999478.95246,-72.1915054321289
3416999479.06846,-73.9083709716797
3416999479.18446,-76.7313842773438
3416999479.30046,-78.6311950683594
3416999479.41646,-78.2920684814453
3416999479.53246,-76.6549606323242
3416999479.64846,-74.5735778808594
3416999479.76446,-71.724723815918
3416999479.88046,-68.9472503662109
3416999479.99646,-67.1833801269531
3416999480.11246,-66.0598449707031
3416999480.22846,-65.2627410888672
3416999480.34446,-64.7841415405273
3416999480.46046,-64.5769119262695
3416999480.57646,-64.4733444804009
3416999480.69246,-64.6249008178711
3416999480.80846,-64.7355422973633
3416999480.92446,-64.7379150390625
3416999481.04046,-64.6720123291016
3416999481.15646,-64.4391174316406
3416999481.27246,-64.0014266967773
3416999481.38846,-63.4922256469727
3416999481.50446,-63.0023994445801
3416999481.62046,-62.4968109130859
3416999481.73646,-62.0730895996094
3416999481.85246,-61.7491035461426
3416999481.96846,-61.5122032165527
3416999482.08446,-61.3779830932617
3416999482.20046,-61.3440551757813
3416999482.31646,-61.4033393859863
3416999482.43246,-61.556095123291
3416999482.54846,-61.7997779846191
3416999482.66446,-62.1225357055664
3416999482.78046,-62.5301208496094
3416999482.89646,-63.0070037841797
3416999483.01246,-63.5407943725586
3416999483.12846,-64.13623046875
3416999483.24446,-64.7745819091797
3416999483.36046,-65.4537963867188
3416999483.47646,-66.173713684082
3416999483.59246,-66.9339370727539
3416999483.70846,-67.7430114746094
3416999483.82446,-68.5468139648438
3416999483.94046,-69.3575897216797
3416999484.05646,-70.1382598876953
3416999484.17246,-70.7303237915039
3416999484.28846,-71.1356964111328
